UserID,ConnectedBaseStation,CurrentLocation,Handovercouter,UsersInSystem,UserQueue
145,Station B,3000.0159988254372,5,20,24
140,Station B,3000.0076515104706,1,20,23
160,Station B,3000.0241747165774,1,20,22
165,Station B,3000.309515584593,1,20,21
143,Station B,3000.076013743239,1,20,21
166,Station B,3000.0660021981903,3,20,22
175,Station A,2107.2559584894343,0,20,21
171,Station B,3000.750917189289,1,20,21
128,Station B,3000.1364572065554,5,20,21
168,Station B,3000.430966943187,1,20,21
164,Station B,3000.318460300052,1,20,23
174,Station A,3000.3858735393383,2,20,22
159,Station B,3000.1209285175605,3,20,23
176,Station B,3000.6608013292907,1,20,22
178,Station B,3000.127847028726,1,20,22
167,Station B,3000.2287211169805,1,20,21
162,Station B,3000.1978597778375,1,20,20
179,Station B,3000.149917066305,3,20,19
154,Station B,3000.0992380033317,3,20,18
170,Station B,3000.1519013234065,5,20,19
181,Station B,3000.4109429699365,1,20,19
183,Station B,3000.633991859754,1,20,19
172,Station B,3000.3283114896312,3,20,19
185,Station B,3000.6971422099355,1,20,18
187,Station B,3000.09436678356,1,20,20
184,Station B,3000.3919104600927,1,20,21
148,Station B,3000.0314034404423,3,20,20
193,Station B,3000.241553094202,1,20,19
169,Station B,3000.1042839036195,7,20,22
180,Station B,3000.012176006394,1,20,22
196,Station B,3000.514251829902,1,20,21
158,Station B,3000.0750957839036,3,20,21
190,Station B,3000.173948993405,1,20,23
142,Station B,3000.0641501602413,1,20,22
177,Station B,3000.190249084045,1,20,22
207,Station A,2067.072820866525,0,20,23
195,Station B,3000.4836949902474,3,20,25
200,Station B,3000.5708736757115,1,20,25
206,Station A,2180.6909860184305,0,20,24
188,Station B,3000.1378114759004,1,20,24
201,Station B,3000.621418864921,3,20,23
199,Station B,3000.3502849827782,1,20,24
192,Station B,3000.061729297169,1,20,27
208,Station B,3000.435369149207,1,20,27
182,Station B,3000.144292678626,1,20,28
213,Station B,3000.259389742306,3,20,28
189,Station B,3000.1218553377557,5,20,27
186,Station B,3000.038860221251,1,20,26
210,Station B,3000.3317170939977,1,20,25
202,Station B,3000.0613889455462,1,20,25
205,Station B,3000.130866326517,1,20,24
198,Station B,3000.21050754904,3,20,25
211,Station B,3000.0492259652947,3,20,24
173,Station B,3000.069925630497,1,20,24
220,Station B,3000.7322717637517,3,20,23
217,Station B,3000.6965950974363,1,20,23
197,Station B,3000.061647719955,3,20,26
194,Station B,2770.744575411736,3,20,26
209,Station B,3000.179141247112,5,20,26
229,Station A,2149.5119969400284,0,20,26
227,Station B,3000.2419230851056,3,20,26
224,Station B,3000.2662314342633,1,20,26
226,Station B,3000.520640105731,1,20,25
225,Station B,3000.131485825217,1,20,27
214,Station B,2934.728046979909,5,20,26
228,Station B,3000.2797156593715,1,20,29
230,Station B,3000.417074548525,1,20,28
233,Station B,3000.2534766402105,3,20,27
239,Station A,2181.020455241378,0,20,26
237,Station B,3000.0880584096703,1,20,25
204,Station B,3000.092691043299,1,20,24
221,Station B,3000.284934954706,1,20,24
212,Station B,3000.018265298945,3,20,23
222,Station B,3000.1856470297753,1,20,23
216,Station B,3000.1050933638826,3,20,25
238,Station B,3000.097267268508,3,20,25
234,Station B,3000.373677309072,3,20,24
218,Station B,3000.025320377259,1,20,25
241,Station B,3000.8317075142877,1,20,24
245,Station B,3000.1400063944175,1,20,26
247,Station B,3000.0812257459584,1,20,25
246,Station B,3000.7208887447196,1,20,24
242,Station B,3000.4791024444785,1,20,23
240,Station B,3000.3870442251355,1,20,26
203,Station B,2816.7734892127746,3,20,28
219,Station B,2938.561993183728,3,20,29
191,Station B,3000.0308799863724,3,20,30
243,Station B,3000.294946420613,1,20,29
215,Station B,3000.0741786915064,5,20,28
254,Station B,3000.2819337426936,3,20,31
253,Station B,3000.3102017221136,1,20,30
255,Station B,3000.193230140413,1,20,29
235,Station B,3000.0911377076895,1,20,30
262,Station A,2175.5114355219475,0,20,30
258,Station B,3000.5236285918036,1,20,29
223,Station B,3000.102599744954,5,20,28
251,Station B,3000.2537986870757,1,20,27
260,Station B,3000.4617583763184,1,20,30
259,Station B,3000.278368421185,1,20,31
263,Station B,3000.2375093306164,1,20,30
269,Station A,2544.357970621039,0,20,31
273,Station A,2045.7359453977374,0,20,32
268,Station B,3000.2798445783274,1,20,32
267,Station B,3000.0084845239494,1,20,31
232,Station B,3000.0753248264373,7,20,30
257,Station B,3000.0965559061865,3,20,30
244,Station B,3000.029906169457,3,20,29
256,Station B,3000.164125231209,1,20,29
231,Station B,3000.0828386417074,3,20,29
270,Station B,3000.269774430144,1,20,33
265,Station B,3000.350265546576,1,20,32
272,Station B,3000.3603182536776,1,20,31
276,Station A,2184.374901509407,0,20,31
275,Station B,3000.5159414990967,3,20,33
271,Station B,3000.014533770722,1,20,36
279,Station B,3000.391063880867,1,20,36
261,Station B,3000.147191619003,1,20,35
289,Station A,2009.6616037810031,0,20,34
281,Station B,2883.9634974446676,1,20,34
284,Station B,3000.661219222261,1,20,33
264,Station B,3000.018216001466,1,20,33
278,Station B,3000.370254165373,1,20,33
236,Station B,3000.064535839416,7,20,32
266,Station B,3000.2621449707085,1,20,31
286,Station B,3000.607203049292,1,20,30
282,Station B,3000.6160433838377,1,20,29
274,Station B,3000.1305764115914,1,20,29
291,Station A,2351.532934936281,0,20,29
277,Station B,3000.283924699327,1,20,28
287,Station B,3000.8780336921423,1,20,27
285,Station B,3000.3533020779287,1,20,26
290,Station B,3000.0063872665146,1,20,27
249,Station B,3000.064570240736,1,20,27
280,Station B,3000.3548313423294,1,20,26
250,Station B,3000.0702883015433,5,20,29
296,Station B,3000.905555677946,1,20,29
294,Station B,3000.592659096842,1,20,30
297,Station B,3000.319827261191,1,20,29
305,Station A,2135.1761761364182,0,20,28
293,Station B,3000.449284736797,3,20,30
301,Station B,3000.712412415133,1,20,29
303,Station B,3000.4946446788426,1,20,28
302,Station B,3000.35261688771,1,20,27
298,Station B,3000.4917699536873,1,20,27
306,Station B,3000.1415144981756,1,20,27
304,Station B,3000.3306641250665,1,20,26
300,Station B,3000.43501131972,1,20,25
309,Station B,3000.3442252289988,1,20,24
283,Station B,3000.096920086019,1,20,23
288,Station B,3000.196461267809,1,20,22
252,Station B,3000.050386673043,1,20,22
310,Station B,3000.10307943102,1,20,23
308,Station B,3000.41176113959,3,20,23
248,Station B,3000.1021920087214,3,20,23
313,Station B,3000.065774756977,5,20,22
311,Station B,3000.121464497828,3,20,21
314,Station A,2182.98377856192,2,20,22
318,Station B,3000.531423845696,1,20,21
299,Station B,3000.095306109506,3,20,20
331,Station A,2040.9615914372102,0,20,19
322,Station B,3000.409908863794,1,20,19
316,Station B,3000.135115405619,1,20,20
315,Station B,3000.328072041043,3,20,20
330,Station B,3000.485745792285,1,20,21
326,Station B,3000.372146540396,3,20,20
320,Station B,3000.0779065288443,1,20,19
321,Station B,3000.4076205143647,1,20,18
312,Station B,3000.074844713259,3,20,17
329,Station B,3000.1280352763306,3,20,16
319,Station B,3000.141322520968,1,20,15
333,Station B,3000.334726278831,1,20,14
328,Station B,3000.2906120898265,1,20,13
323,Station B,3000.248164460652,1,20,13
292,Station B,3000.1475489205072,3,20,14
336,Station B,3000.8493822167334,1,20,13
325,Station B,3000.291351945574,1,20,13
317,Station B,2667.76892124555,3,20,15
324,Station B,3000.06123191348,1,20,14
327,Station B,2926.076726057671,3,20,13
339,Station B,3000.473044093429,1,20,12
344,Station B,3000.3872456614663,1,20,12
341,Station A,2292.335791002612,0,20,11
343,Station B,3000.057566677761,3,20,10
335,Station B,3000.090628549091,3,20,13
307,Station B,3000.026650363987,1,20,12
347,Station B,3000.3825113425464,3,20,11
349,Station B,3000.1966605578177,1,20,12
351,Station B,3000.175286227723,1,20,12
334,Station B,3000.105467311934,1,20,12
355,Station B,3000.123338852991,1,20,11
340,Station B,3000.3662871773176,1,20,10
342,Station B,3000.104351712536,3,20,9
346,Station B,3000.3566492914542,1,20,9
353,Station B,3000.512774197581,1,20,9
350,Station B,3000.1388921907483,1,20,10
358,Station B,3000.425660385172,1,20,10
356,Station A,3000.4107231059374,0,20,9
357,Station B,3000.4094444280054,1,20,8
367,Station A,2060.719679723653,0,20,7
337,Station B,3000.072494890282,1,20,7
362,Station B,2830.55283419117,1,20,6
348,Station B,3000.02877811085,3,20,6
332,Station B,3000.151204789673,1,20,5
363,Station B,3000.6327986819406,1,20,6
360,Station B,3000.8047370004783,1,20,6
361,Station B,3000.279387453393,1,20,5
352,Station B,3000.0292910006087,3,20,4
354,Station B,3000.1514656123777,1,20,4
365,Station B,3000.2236684111676,1,20,3
373,Station B,3000.0654339488033,1,20,4
359,Station B,3000.4572198727906,3,20,3
345,Station B,3000.020502181081,1,20,2
338,Station B,3000.0132065391667,1,20,1
376,Station B,3000.4691074844736,1,20,0
364,Station B,3000.1240500528506,1,20,0
366,Station B,3000.5276003809226,1,19,0
375,Station B,3000.289190723424,3,20,0
295,Station B,3000.0505439803396,5,19,0
369,Station B,3000.3249094769253,1,19,0
370,Station B,3000.472525079386,3,19,0
381,Station B,3000.657269944047,1,20,1
384,Station B,2820.1032520577965,1,20,0
380,Station B,3000.4808155460814,1,20,4
372,Station B,3000.41596909506,3,20,4
377,Station B,3000.3610997519704,1,20,3
374,Station B,3000.077046978372,1,20,5
383,Station B,3000.0138395858085,1,20,6
389,Station B,3000.058542404643,1,20,9
378,Station B,3000.273507404442,3,20,8
385,Station B,3000.009817878525,3,20,11
394,Station B,3000.6733449096864,1,20,11
392,Station B,3000.096479399872,1,20,10
382,Station B,3000.1671756396536,3,20,9
387,Station B,3000.178407309463,1,20,12
406,Station A,2031.032172078947,0,20,14
395,Station B,2921.7479187284043,3,20,13
400,Station B,3000.0344702134184,1,20,12
379,Station B,3000.2299670935668,3,20,11
408,Station A,2024.0675315636609,0,20,10
404,Station B,3000.4282756731027,3,20,10
388,Station B,3000.1888091008004,1,20,9
399,Station B,3000.3001502751795,1,20,10
410,Station A,2113.716623766946,0,20,10
390,Station B,3000.0157233704044,1,20,9
368,Station B,3000.0865917685614,5,20,9
398,Station B,3000.3532099393474,1,20,8
402,Station B,3000.1000734325185,3,20,7
371,Station B,3000.139649238572,3,20,6
413,Station B,3000.091476220205,1,20,6
407,Station B,3000.30362863537,1,20,5
403,Station B,3000.1283507253092,3,20,4
411,Station B,3000.573175939807,1,20,6
424,Station A,2021.7869309585992,0,20,7
415,Station B,3000.894167612296,3,20,7
416,Station B,3000.2131911567826,1,20,9
420,Station B,3000.100441205005,1,20,8
422,Station B,3000.3518397908156,3,20,12
414,Station B,3000.1173366149897,1,20,11
412,Station B,3000.2328744769206,1,20,11
417,Station B,3000.4345770360014,1,20,11
421,Station B,3000.36544646288,1,20,11
418,Station B,3000.2794181480235,3,20,10
428,Station B,3000.466497831826,1,20,9
397,Station B,3000.001785986813,7,20,8
396,Station B,3000.115840338829,3,20,8
429,Station B,3000.22874641486,1,20,7
419,Station B,2975.3047209918145,1,20,6
430,Station B,3000.721111057901,3,20,5
434,Station A,2138.652236409,0,20,6
423,Station B,3000.132476993172,3,20,5
433,Station B,3000.451472071114,1,20,4
386,Station B,3000.070580546762,1,20,4
431,Station B,3000.456473547353,1,20,3
435,Station B,3000.7468536398137,3,20,2
393,Station B,3000.137376708648,5,20,3
409,Station B,3000.18699306118,3,20,4
440,Station B,3000.434110337016,1,20,3
437,Station B,3000.0648097069156,1,20,3
391,Station B,3000.075559899541,3,20,2
442,Station B,3000.266984246985,1,20,4
441,Station B,3000.3373803800205,1,20,3
443,Station B,3000.3333037852826,1,20,5
439,Station B,3000.075034924591,1,20,5
447,Station B,3000.6730984664664,1,20,8
427,Station B,3000.2306962208386,3,20,9
448,Station B,3000.278772651773,1,20,9
436,Station B,3000.255789378948,1,20,8
449,Station B,3000.1058855985475,1,20,7
425,Station B,3000.171500608101,3,20,7
405,Station B,3000.060615426213,3,20,7
450,Station B,3000.325141362504,1,20,11
452,Station B,3000.030722167338,1,20,10
446,Station B,3000.1579698266514,1,20,13
459,Station B,3000.100959200259,1,20,12
454,Station B,3000.3765650530318,3,20,11
456,Station B,3000.3728379910967,1,20,10
462,Station B,3000.7436477560477,1,20,9
455,Station B,3000.107008159629,3,20,8
458,Station B,3000.1089280015053,3,20,7
461,Station B,3000.31460593365,1,20,7
401,Station B,3000.0387762346536,3,20,6
471,Station A,2097.456421485944,0,20,5
445,Station B,3000.129893126852,3,20,4
464,Station B,3000.068619337835,1,20,3
438,Station B,3000.0957869313206,1,20,2
444,Station B,3000.1544495471508,1,20,3
457,Station B,3000.090960215568,1,20,3
465,Station B,3000.269135060994,1,20,2
468,Station B,3000.4449003059417,1,20,4
466,Station B,3000.2554984636663,3,20,3
477,Station B,3000.647255928129,1,20,3
451,Station B,3000.019253484055,3,20,2
469,Station B,3000.5988227901944,1,20,1
460,Station B,3000.109796741442,1,20,1
476,Station B,3000.111858518149,1,20,0
480,Station B,3000.8552389337306,1,19,0
426,Station B,3000.010606685761,7,20,1
478,Station B,3000.248830522356,1,20,1
474,Station B,3000.070919247382,3,20,0
467,Station B,3000.083220271337,1,20,0
473,Station B,3000.3931694798466,1,19,0
481,Station A,2227.103382481992,0,18,0
472,Station B,3000.288398141214,1,17,0
484,Station B,3000.3705965163094,1,19,0
486,Station B,3000.5836862369033,1,18,0
463,Station B,3000.231660623851,1,20,0
483,Station B,3000.4182249218043,1,20,3
482,Station B,3000.0087794050137,1,20,3
432,Station B,3000.077635112165,3,20,4
490,Station B,3000.2896685924266,1,20,5
493,Station B,3000.3671959864714,1,20,4
491,Station B,3000.3294445003353,1,20,3
475,Station B,2984.3956837815163,3,20,3
492,Station B,3000.692442810686,1,20,3
497,Station B,3000.235828688767,1,20,4
470,Station B,3000.03517733962,1,20,3
496,Station B,3000.400016536937,1,20,2
505,Station A,2269.771501874575,0,20,1
500,Station B,3000.0981737354778,1,20,0
499,Station B,3000.2558405800173,1,19,0
498,Station B,2875.2907419779513,1,19,0
453,Station B,3000.111597859319,5,20,1
488,Station B,3000.146425364182,1,20,0
485,Station B,3000.1440152195282,1,20,0
504,Station B,3000.455639268289,1,20,0
507,Station B,3000.620181796738,1,20,1
510,Station B,3000.1079907956464,1,20,0
