UserID,ConnectedBaseStation,CurrentLocation,Handovercouter,UsersInSystem,UserQueue,DisconnectedUsers
1,Station B,3000.2676316342054,1,10,0,1
4,Station B,3000.46403654081,1,10,0,2
2,Station B,3000.071063918915,1,10,0,3
7,Station B,3000.437073092098,1,10,0,4
3,Station B,3000.3509460475284,1,11,0,5
5,Station B,3000.0823093162635,5,10,0,6
12,Station B,3000.5843373744756,1,15,0,7
16,Station B,3000.0163488748435,1,17,0,8
19,Station B,3000.749303209918,1,17,0,9
8,Station B,3000.275544343771,1,16,0,10
21,Station B,3000.3307972024263,1,16,0,11
15,Station B,3000.1114924823387,1,16,0,12
22,Station B,3000.6698701417235,1,16,0,13
17,Station B,3000.458142687712,1,16,0,14
27,Station B,3000.791504753556,1,20,1,15
0,Station B,3000.075138541979,1,20,3,16
28,Station B,3000.7152499623494,1,20,2,17
29,Station B,3000.3098295852174,1,20,1,18
14,Station B,3000.0128289469035,3,20,0,19
30,Station B,3000.5695012426477,1,19,0,20
32,Station B,3000.5602977355866,1,20,0,21
11,Station B,3000.0739537791014,1,20,1,22
25,Station B,3000.001043318263,1,20,1,23
9,Station B,3000.0859728096248,5,20,2,24
31,Station B,3000.1669109930244,1,20,5,25
39,Station B,3000.7356774367818,1,20,5,26
41,Station B,3000.0308233836004,1,20,6,27
43,Station B,3000.8102488944555,1,20,5,28
10,Station B,3000.088573633116,3,20,5,29
36,Station B,3000.4743901577763,1,20,4,30
18,Station B,3000.077985161692,1,20,3,31
49,Station A,2159.966854088289,0,20,3,32
13,Station B,3000.0779502925207,3,20,2,33
40,Station B,3000.3136284444777,3,20,9,34
46,Station B,3000.270858998091,1,20,9,35
48,Station B,3000.139516524152,1,20,8,36
23,Station B,2898.4620807990773,3,20,7,37
45,Station B,3000.512003530808,1,20,9,38
26,Station B,3000.1665623181693,3,20,8,39
38,Station B,3000.1256436389067,1,20,8,40
37,Station B,3000.1156557677286,3,20,9,41
33,Station B,3000.106011559148,3,20,9,42
54,Station B,3000.2740290598176,1,20,9,43
44,Station B,3000.301391367261,3,20,8,44
47,Station B,3000.038579464842,1,20,7,45
20,Station B,2943.492191970872,3,20,6,46
51,Station B,3000.231907472013,1,20,9,47
59,Station B,3000.3745823077,1,20,8,48
24,Station B,3000.131888542326,1,20,7,49
42,Station B,3000.188189282463,3,20,6,50
57,Station B,3000.1078828307277,3,20,5,51
61,Station B,3000.1361813850817,1,20,4,52
55,Station B,3000.486080616487,1,20,3,53
64,Station B,3000.5347257984226,1,20,6,54
63,Station B,3000.620972626316,3,20,9,55
34,Station B,3000.0690231435487,5,20,9,56
62,Station B,3000.4816746927154,1,20,9,57
66,Station B,3000.2269590270557,3,20,9,58
53,Station B,3000.13844621442,1,20,9,59
67,Station B,3000.060501696412,1,20,8,60
50,Station B,2947.1772786605793,3,20,8,61
70,Station B,3000.014062159958,1,20,7,62
72,Station B,3000.2889409652157,1,20,6,63
73,Station B,3000.142828697222,1,20,5,64
69,Station B,3000.16390378814,3,20,4,65
35,Station B,3000.020697514903,3,20,3,66
71,Station B,3000.2776515975484,3,20,3,67
60,Station B,3000.0801088509443,1,20,2,68
78,Station B,3000.4254275013263,1,20,2,69
65,Station B,3000.130922073561,5,20,3,70
58,Station B,3000.1798926842894,1,20,2,71
68,Station B,3000.143798569038,1,20,2,72
80,Station B,3000.3928799368914,1,20,2,73
85,Station B,3000.482495406724,1,20,5,74
84,Station B,3000.2516006394508,1,20,4,75
56,Station B,3000.185657429025,1,20,3,76
