UserID,ConnectedBaseStation,CurrentLocation,Handovercouter,UsersInSystem,UserQueue,DisconnectedUsers
2,Station B,3000.0379555716377,1,19,0,1
6,Station B,3000.3701610081525,1,18,0,2
3,Station B,3000.149514495751,1,19,0,3
8,Station B,3000.3107169086916,1,19,0,4
4,Station B,3000.353545786034,1,20,1,5
7,Station B,3000.1402518821374,1,20,0,6
11,Station B,3000.4478915003892,1,20,0,7
12,Station B,3000.6951031475833,1,20,0,8
15,Station B,3000.711219102899,1,20,0,9
13,Station B,3000.1773476210815,1,19,0,10
10,Station B,3000.1957024296594,1,20,1,11
5,Station B,3000.3722306337854,1,20,0,12
18,Station B,3000.2703334312605,1,20,0,13
19,Station B,3000.141202380494,1,20,1,14
21,Station B,3000.5930309616056,1,20,0,15
20,Station B,3000.0854798796126,1,20,0,16
1,Station B,3000.113750309693,1,19,0,17
17,Station B,3000.2979744012005,1,18,0,18
27,Station B,3000.2080517822947,1,18,0,19
16,Station B,3000.102373516215,1,18,0,20
30,Station B,3000.1423443232893,1,17,0,21
22,Station B,3000.129105832612,1,16,0,22
14,Station B,3000.3530352563575,1,15,0,23
26,Station B,3000.530521585576,1,14,0,24
28,Station B,3000.1044108824103,1,15,0,25
23,Station B,3000.075392454746,3,15,0,26
35,Station B,3000.2438058862285,1,17,0,27
29,Station B,3000.366990709888,1,16,0,28
9,Station B,3000.084106847163,1,16,0,29
36,Station B,3000.243099007632,1,20,0,30
41,Station B,3000.6549784211556,1,20,2,31
37,Station B,3000.375225111911,3,20,2,32
43,Station B,3000.613542815617,1,20,4,33
40,Station B,3000.4599318400215,1,20,3,34
42,Station B,3000.428979342897,1,20,3,35
44,Station B,3000.1234311932603,3,20,3,36
46,Station B,3000.633418480102,1,20,2,37
45,Station A,2605.2579651185065,0,20,2,38
31,Station B,3000.177446820469,1,20,1,39
24,Station B,3000.220951047822,1,20,0,40
50,Station B,3000.2327431285057,1,19,0,41
33,Station B,3000.1657239669316,3,20,1,42
32,Station B,3000.0955707965786,1,20,0,43
61,Station A,2174.061766813212,0,19,0,44
38,Station B,3000.097171191148,1,18,0,45
47,Station B,3000.4725322035074,1,17,0,46
56,Station B,3000.3473391176713,1,16,0,47
60,Station A,2145.502992280526,0,17,0,48
34,Station B,3000.1518112921312,3,17,0,49
48,Station B,3000.3779556810473,1,18,0,50
57,Station B,3000.7096019201026,1,17,0,51
