UserID,ConnectedBaseStation,CurrentLocation,Handovercouter,UsersInSystem,UserQueue,DisconnectedUsers
2,Station B,3000.3216460680705,1,9,0,1
1,Station B,3000.014322246541,1,9,0,2
0,Station B,3000.332723963776,1,12,0,3
3,Station B,3000.311367452492,1,12,0,4
10,Station A,3000.038604109695,2,11,0,5
7,Station B,3000.13664457947,1,16,0,6
8,Station B,3000.1170543231196,1,16,0,7
9,Station B,3000.09343926813,1,19,0,8
14,Station B,3000.110526625863,3,18,0,9
6,Station B,3000.0413339938254,1,20,1,10
18,Station B,3000.7392500720016,1,20,0,11
17,Station B,3000.0962632790543,1,20,0,12
16,Station B,3000.323600681367,1,20,1,13
29,Station A,2230.3658214779675,0,20,1,14
26,Station B,3000.490479606514,1,20,4,15
24,Station B,3000.200544779076,1,20,4,16
28,Station B,3000.6294482381445,1,20,3,17
21,Station B,3000.009050572525,1,20,2,18
11,Station B,3000.234290155213,1,20,1,19
27,Station B,3000.157280531963,1,20,0,20
31,Station B,3000.5219608671796,1,20,0,21
20,Station B,3000.2952991275383,1,19,0,22
15,Station B,3000.124736568038,3,19,0,23
23,Station B,3000.0825130956405,3,19,0,24
22,Station B,2982.3690983517195,1,19,0,25
33,Station B,3000.6621388000567,1,18,0,26
35,Station B,2930.801758231833,1,20,0,27
19,Station B,3000.16877280251,1,20,2,28
38,Station B,3000.8154901583607,1,20,1,29
48,Station A,2051.201745291618,0,20,1,30
39,Station B,3000.640811678386,1,20,2,31
37,Station B,3000.227912653388,1,20,2,32
12,Station B,3000.1176350986225,3,20,1,33
25,Station B,3000.292916670594,3,20,1,34
32,Station B,3000.0119398319707,3,20,3,35
42,Station B,3000.285988187425,1,20,3,36
44,Station B,3000.454573428753,1,20,2,37
30,Station B,3000.2193121953615,1,20,2,38
5,Station B,3000.035756278119,1,20,3,39
43,Station B,3000.4414478353333,1,20,2,40
41,Station B,3000.266972220504,1,20,1,41
36,Station B,3000.102302863834,1,20,2,42
53,Station B,3000.84994575991,1,20,1,43
46,Station B,3000.2512252418824,1,20,1,44
47,Station B,3000.182827754788,1,20,0,45
51,Station B,3000.0572622189065,1,19,0,46
49,Station B,3000.166224707737,5,20,2,47
59,Station B,3000.6203413295316,1,20,1,48
60,Station B,3000.235611623079,1,20,3,49
58,Station B,3000.598267564892,1,20,2,50
57,Station B,3000.526357073087,1,20,1,51
63,Station B,3000.449495441435,1,20,1,52
62,Station B,3000.5933872588844,1,20,0,53
45,Station B,3000.292076362688,1,20,0,54
40,Station B,3000.144621209074,1,19,0,55
34,Station B,3000.2185282566916,1,18,0,56
67,Station B,3000.098022427639,1,17,0,57
66,Station B,3000.212474340252,1,17,0,58
68,Station B,3000.46824238994,1,16,0,59
74,Station A,2179.3281371689477,0,15,0,60
64,Station B,3000.4976422964087,1,16,0,61
70,Station B,3000.3530061465926,1,15,0,62
13,Station B,3000.0344560867516,3,15,0,63
50,Station B,3000.092195639679,3,14,0,64
69,Station B,3000.2366752293024,1,13,0,65
65,Station B,3000.1825011574856,3,17,0,66
55,Station B,3000.2293602393956,1,16,0,67
76,Station A,2280.247784457009,0,18,0,68
73,Station B,3000.501152342804,3,17,0,69
75,Station B,3000.4291497747045,1,16,0,70
72,Station B,3000.165106970903,3,15,0,71
80,Station B,3000.7055474697727,1,16,0,72
56,Station B,3000.075753702843,3,15,0,73
89,Station A,2012.4390220290225,0,16,0,74
54,Station B,3000.1370722280953,3,17,0,75
84,Station B,3000.0415811967755,1,17,0,76
77,Station B,3000.335226042687,1,16,0,77
71,Station B,3000.110212625012,1,16,0,78
