UserID,ConnectedBaseStation,CurrentLocation,Handovercouter,UsersInSystem,UserQueue,DisconnectedUsers
3,Station B,3000.46545839425,1,16,0,1
7,Station B,3000.739279679558,1,15,0,2
5,Station B,3000.7700473437094,1,14,0,3
4,Station B,3000.2766017704507,1,14,0,4
11,Station B,3000.4191593910737,3,14,0,5
9,Station B,2969.8088567375075,1,13,0,6
10,Station B,3000.408207959409,1,12,0,7
13,Station B,3000.1767552536153,3,11,0,8
6,Station B,3000.3182472456288,5,13,0,9
1,Station B,3000.0730912261283,1,15,0,10
8,Station B,3000.3243011458217,3,14,0,11
19,Station B,3000.3689863180616,1,18,0,12
18,Station B,3000.5006932762462,1,20,1,13
22,Station B,3000.1364918246313,1,20,2,14
12,Station B,3000.051431611531,1,20,1,15
14,Station B,3000.1289111215574,1,20,3,16
24,Station B,3000.3157664864993,1,20,2,17
2,Station B,3000.080354666415,3,20,3,18
27,Station B,3000.5787762025984,1,20,6,19
29,Station B,3000.002823551189,1,20,6,20
30,Station B,3000.514072977011,1,20,8,21
26,Station B,3000.5580161655434,3,20,7,22
33,Station B,3000.585553265679,1,20,7,23
31,Station B,3000.487114166556,1,20,6,24
34,Station B,3000.0411051261985,1,20,6,25
25,Station B,3000.289941467832,1,20,5,26
35,Station B,2719.2218098948615,1,20,7,27
20,Station B,3000.2745380348742,1,20,7,28
37,Station B,3000.129047967703,1,20,7,29
45,Station B,3000.565523189648,1,20,6,30
44,Station B,3000.4084855112537,1,20,5,31
38,Station B,3000.058119066125,1,20,4,32
42,Station B,3000.7001029956755,3,20,3,33
23,Station B,3000.1365480709146,1,20,3,34
41,Station B,3000.532263551451,1,20,2,35
43,Station B,3000.6095302815934,3,20,1,36
15,Station B,3000.115247248618,3,20,0,37
53,Station A,2292.0725326315483,0,19,0,38
48,Station B,3000.155603305216,1,18,0,39
21,Station B,3000.1820757436344,3,18,0,40
46,Station B,3000.1758474014514,1,17,0,41
54,Station A,2187.7892171413005,0,19,0,42
49,Station B,3000.6173876523876,1,19,0,43
16,Station B,2949.1166549775785,11,18,0,44
39,Station B,3000.2506055301014,1,20,0,45
36,Station B,3000.214679461729,3,20,1,46
47,Station B,3000.4284736967634,3,20,1,47
51,Station B,3000.6374784447694,1,20,0,48
56,Station B,3000.18229804772,1,19,0,49
28,Station B,3000.003874339342,1,18,0,50
55,Station B,3000.263217550206,1,17,0,51
59,Station B,3000.964358319043,1,16,0,52
32,Station B,3000.0794174969724,1,15,0,53
58,Station B,3000.113653779129,1,17,0,54
60,Station B,3000.546337834884,1,20,3,55
64,Station B,3000.646216060434,1,20,2,56
66,Station B,3000.6647073560116,1,20,1,57
67,Station B,3000.53661070238,1,20,1,58
50,Station A,3000.196034477451,0,20,1,59
79,Station A,2048.933373394675,0,20,0,60
65,Station B,3000.4307882800526,1,20,0,61
63,Station B,3000.38887800882,1,19,0,62
72,Station B,3000.769115733051,1,20,3,63
61,Station B,3000.4190997709716,3,20,3,64
69,Station B,3000.5290119583137,1,20,2,65
52,Station B,3000.099370121362,5,20,2,66
57,Station B,3000.112077359915,1,20,1,67
71,Station B,3000.046568450869,3,20,0,68
77,Station B,3000.4623621671594,1,19,0,69
74,Station B,3000.384217251385,3,19,0,70
76,Station B,3000.162353730533,1,20,2,71
84,Station B,3000.237575937955,5,20,3,72
80,Station B,3000.3177103410276,1,20,2,73
81,Station B,3000.5484662513913,1,20,2,74
17,Station B,3000.083871939294,5,20,6,75
85,Station B,2725.4782769254352,1,20,5,76
87,Station B,3000.5340655084874,1,20,4,77
82,Station B,3000.171053634948,3,20,3,78
90,Station B,3000.213812671863,1,20,2,79
75,Station B,3000.0808043846787,1,20,5,80
91,Station B,3000.1082343034695,1,20,6,81
88,Station B,3000.2966242461143,1,20,7,82
78,Station B,3000.293205957624,3,20,8,83
93,Station B,3000.2778142899065,1,20,7,84
97,Station B,3000.4855637736496,1,20,6,85
92,Station B,3000.46694682243,1,20,6,86
105,Station A,2073.773803363668,0,20,8,87
96,Station B,3000.1487456711407,1,20,8,88
70,Station B,3000.0636069515767,5,20,7,89
99,Station B,3000.4415102695066,1,20,6,90
95,Station B,3000.5158195093754,1,20,5,91
94,Station B,3000.30022657781,3,20,5,92
68,Station B,3000.146348587088,1,20,7,93
106,Station B,3000.9530439587857,1,20,6,94
40,Station B,3000.0193698507474,1,20,7,95
109,Station B,3000.0841971906552,1,20,8,96
107,Station B,3000.72557903037,1,20,7,97
108,Station B,3000.399262509989,3,20,7,98
98,Station B,3000.235290253252,3,20,6,99
103,Station B,3000.3641657923345,1,20,7,100
83,Station B,3000.019310803211,3,20,6,101
111,Station B,3000.5195583293457,1,20,7,102
117,Station B,3000.058778010095,1,20,6,103
112,Station B,3000.3513527940795,1,20,5,104
102,Station B,3000.0401624424844,1,20,4,105
113,Station B,3000.3210502548445,1,20,4,106
110,Station B,3000.021787575104,3,20,3,107
118,Station B,3000.0817680359355,1,20,4,108
121,Station B,3000.273091322463,3,20,9,109
125,Station B,3000.285588174244,1,20,9,110
101,Station B,3000.011878194187,1,20,9,111
73,Station B,3000.114210832057,3,20,8,112
116,Station B,3000.2965239016758,1,20,7,113
127,Station B,3000.104322074833,1,20,6,114
62,Station B,3000.0356701783785,5,20,5,115
115,Station B,3000.0347934623373,1,20,6,116
132,Station A,2293.015417399811,0,20,10,117
123,Station B,2980.088644409301,1,20,11,118
89,Station B,3000.0889713301717,3,20,11,119
104,Station B,3000.036578821293,3,20,10,120
124,Station B,3000.327498645779,3,20,12,121
86,Station B,3000.1214178950017,3,20,11,122
142,Station A,2015.0863424231684,0,20,10,123
134,Station B,3000.3708782103085,1,20,9,124
135,Station B,3000.1904959261287,3,20,8,125
126,Station B,3000.1612132025875,1,20,9,126
138,Station B,3000.274633502854,1,20,8,127
136,Station B,3000.4015204485113,1,20,8,128
114,Station B,3000.0264020531804,3,20,7,129
122,Station B,3000.0992602246697,3,20,7,130
149,Station A,2035.4571104568822,0,20,6,131
140,Station B,3000.5476200266908,3,20,6,132
129,Station B,3000.1878148206215,1,20,5,133
119,Station B,3000.012745677177,3,20,6,134
139,Station B,3000.3361880512743,1,20,5,135
141,Station B,3000.150831130436,1,20,4,136
144,Station B,3000.3899444381946,3,20,3,137
128,Station B,3000.0256615756107,1,20,3,138
131,Station B,3000.0769771704217,1,20,2,139
148,Station B,2820.568782886343,1,20,1,140
146,Station B,3000.4960721790562,1,20,1,141
153,Station B,3000.7274449546085,1,20,1,142
145,Station B,3000.128238022218,1,20,0,143
147,Station B,3000.4981983462,1,19,0,144
151,Station B,3000.716335597903,1,18,0,145
150,Station B,3000.215487513665,1,17,0,146
155,Station B,3000.1640547639804,1,17,0,147
143,Station B,3000.285814225907,1,16,0,148
152,Station B,3000.4883789967316,1,16,0,149
154,Station B,3000.2766896220833,1,19,0,150
137,Station B,3000.1069685535144,1,20,3,151
133,Station B,3000.0793370156193,1,20,2,152
100,Station B,3000.0815384472517,5,20,3,153
173,Station A,2014.9786607211363,0,20,2,154
162,Station B,3000.304674472547,1,20,1,155
163,Station B,3000.3361311986428,1,20,0,156
161,Station B,3000.3319295271876,3,19,0,157
160,Station B,3000.1802489480156,1,20,0,158
164,Station B,3000.7411915615526,1,19,0,159
157,Station B,3000.3112355931753,1,18,0,160
120,Station B,3000.051848190047,3,19,0,161
159,Station B,3000.2093674681255,1,18,0,162
156,Station B,2982.8000201135565,1,17,0,163
170,Station B,3000.21199980611,1,18,0,164
168,Station B,2982.9105504643762,3,17,0,165
167,Station A,3000.0544712135343,2,19,0,166
169,Station B,3000.029808940217,1,20,0,167
171,Station B,3000.4087133661624,1,19,0,168
178,Station B,3000.1881590211833,1,18,0,169
158,Station B,3000.2216975456613,1,17,0,170
174,Station B,3000.4809205072597,1,16,0,171
180,Station B,3000.0999023298646,1,16,0,172
179,Station B,3000.564241886669,1,18,0,173
176,Station B,3000.362047685834,1,18,0,174
130,Station B,3000.0632273626434,7,20,0,175
182,Station B,3000.216804047008,1,19,0,176
166,Station B,3000.2079799533976,1,18,0,177
186,Station B,3000.5830728612555,1,17,0,178
184,Station B,3000.1057533184317,1,17,0,179
165,Station B,3000.17035503167,1,19,0,180
183,Station B,3000.217838249735,3,19,0,181
188,Station B,3000.053361028851,1,19,0,182
193,Station B,3000.8394536564197,3,18,0,183
187,Station B,3000.151692470173,1,19,0,184
202,Station A,2062.194922579739,0,18,0,185
194,Station B,3000.615441569656,1,17,0,186
175,Station B,3000.1179726777445,3,16,0,187
191,Station B,3000.1936989648284,1,16,0,188
195,Station B,2998.5408987053097,1,18,0,189
192,Station B,3000.37385010183,1,17,0,190
198,Station B,3000.443744267621,1,18,0,191
197,Station B,3000.550434329451,1,17,0,192
206,Station B,3000.23024808174,1,20,4,193
200,Station B,3000.054773529453,1,20,3,194
205,Station B,3000.1717493964697,1,20,3,195
209,Station B,3000.7545804256915,1,20,3,196
181,Station B,3000.181303298348,1,20,2,197
177,Station B,3000.1502010925947,1,20,2,198
208,Station B,3000.4384181010023,1,20,1,199
207,Station B,3000.32135561639,3,20,1,200
185,Station B,3000.1033773414474,1,20,0,201
172,Station B,3000.077645353342,1,19,0,202
190,Station B,3000.1066140314288,3,20,2,203
199,Station B,3000.125498582898,3,20,2,204
203,Station B,3000.0676811050535,3,20,2,205
214,Station B,3000.679836366782,1,20,4,206
210,Station B,3000.3450736052228,1,20,3,207
216,Station B,3000.660311810572,1,20,2,208
201,Station B,3000.13457950074,1,20,1,209
211,Station B,3000.4098935662114,3,20,0,210
219,Station B,3000.409732341929,1,19,0,211
229,Station A,2111.612271114095,0,18,0,212
224,Station B,3000.4329777187036,1,20,0,213
218,Station B,3000.337396490875,3,20,1,214
226,Station A,3000.690674583633,0,20,2,215
228,Station B,3000.630331914901,1,20,1,216
212,Station B,3000.084026804513,3,20,2,217
189,Station B,3000.072590642864,5,20,1,218
213,Station B,2964.541628739007,3,20,0,219
227,Station B,3000.293701561423,1,19,0,220
231,Station B,3000.615121946899,3,20,2,221
232,Station B,3000.0289019594657,1,20,3,222
220,Station B,3000.321907961267,1,20,3,223
225,Station B,3000.1748656893965,3,20,2,224
196,Station B,3000.0115435767398,3,20,1,225
237,Station B,3000.7953602347184,1,20,8,226
238,Station B,3000.035876067159,3,20,11,227
223,Station B,3000.314452895372,1,20,10,228
233,Station B,3000.066094075134,1,20,9,229
215,Station B,3000.0154423078666,3,20,11,230
240,Station B,3000.034768106255,1,20,10,231
241,Station B,3000.345422046994,1,20,10,232
243,Station B,3000.8179352142606,1,20,11,233
235,Station B,3000.242737669024,1,20,10,234
239,Station B,3000.05127237517,3,20,10,235
245,Station B,3000.7573216820792,1,20,9,236
242,Station B,3000.0850310062156,1,20,10,237
