UserID,ConnectedBaseStation,CurrentLocation,Handovercouter,UsersInSystem,UserQueue,DisconnectedUsers
2,Station B,3000.0379555716377,1,17,0,1
6,Station B,3000.3701610081525,1,17,0,2
3,Station B,3000.149514495751,1,16,0,3
8,Station B,3000.3107169086916,3,16,0,4
4,Station B,3000.353545786034,1,20,0,5
7,Station B,3000.1402518821374,1,19,0,6
11,Station B,3000.4478915003892,1,19,0,7
12,Station B,3000.6951031475833,1,18,0,8
27,Station A,2008.5416591073624,0,19,0,9
15,Station B,3000.711219102899,1,19,0,10
13,Station B,3000.1773476210815,1,18,0,11
5,Station B,3000.3722306337854,1,17,0,12
10,Station B,3000.1957024296594,1,16,0,13
18,Station B,3000.2703334312605,1,17,0,14
19,Station B,3000.141202380494,1,17,0,15
21,Station B,3000.5930309616056,1,16,0,16
29,Station A,2160.670663529603,0,18,0,17
1,Station B,3000.113750309693,1,17,0,18
25,Station B,3000.592069648229,1,16,0,19
20,Station B,3000.0854798796126,1,15,0,20
17,Station B,3000.2979744012005,1,14,0,21
28,Station B,3000.2080517822947,1,15,0,22
16,Station B,3000.102373516215,1,14,0,23
14,Station B,3000.3530352563575,1,14,0,24
22,Station B,3000.129105832612,3,13,0,25
26,Station B,3000.530521585576,5,12,0,26
31,Station B,3000.1423443232893,3,11,0,27
32,Station B,3000.4695900862985,1,10,0,28
23,Station B,3000.075392454746,3,11,0,29
9,Station B,3000.084106847163,1,14,0,30
30,Station B,3000.366990709888,3,13,0,31
43,Station A,2085.3903452720433,0,12,0,32
37,Station B,3000.2438058862285,1,13,0,33
39,Station B,3000.243099007632,1,20,0,34
24,Station B,3000.220951047822,1,20,2,35
34,Station B,3000.177446820469,1,20,2,36
44,Station B,3000.6549784211556,1,20,2,37
35,Station B,2810.286545914318,5,20,1,38
49,Station B,3000.633418480102,1,20,0,39
47,Station B,3000.1234311932603,1,19,0,40
40,Station B,3000.375225111911,1,18,0,41
46,Station B,3000.613542815617,1,17,0,42
53,Station B,3000.2327431285057,1,17,0,43
45,Station B,3000.428979342897,1,16,0,44
33,Station B,3000.0955707965786,1,15,0,45
48,Station B,3000.1066376345066,5,17,0,46
50,Station B,2957.3254688200677,1,16,0,47
54,Station B,3000.3613645682344,1,15,0,48
41,Station B,3000.097171191148,1,14,0,49
51,Station B,3000.3779556810473,3,16,0,50
57,Station B,3000.1931782716565,1,17,0,51
58,Station B,3000.559094007732,1,16,0,52
61,Station B,3000.650483814137,1,15,0,53
63,Station A,2242.5573745530905,0,14,0,54
38,Station B,3000.1518112921312,1,13,0,55
64,Station B,3000.3473391176713,1,16,0,56
60,Station B,3000.100094618323,1,15,0,57
56,Station B,3000.3200511656305,1,14,0,58
65,Station B,3000.7096019201026,1,14,0,59
71,Station B,3000.181198514245,1,20,0,60
68,Station B,3000.531587400647,1,20,3,61
36,Station B,3000.1122646248596,3,20,5,62
75,Station B,3000.4014356309303,1,20,4,63
52,Station B,3000.1154935299587,3,20,3,64
69,Station B,3000.0542614760066,3,20,3,65
73,Station B,3000.203147416495,1,20,2,66
74,Station B,3000.3511590537264,1,20,1,67
70,Station B,3000.246508967556,1,20,0,68
78,Station B,3000.0438000366084,1,19,0,69
84,Station A,2468.836298997333,0,20,2,70
79,Station B,3000.130874426475,1,20,1,71
72,Station B,3000.0250149145677,3,20,2,72
80,Station B,3000.012241059577,1,20,1,73
85,Station B,3000.5257577971315,1,20,0,74
77,Station B,3000.4700453619444,1,20,0,75
42,Station B,3000.1014451846704,1,19,0,76
67,Station B,3000.034247695733,3,18,0,77
90,Station B,3000.7079698313732,3,17,0,78
66,Station B,3000.1057235031785,1,16,0,79
86,Station B,3000.043224663985,1,16,0,80
55,Station B,3000.0557083822823,3,15,0,81
81,Station B,3000.025943975961,3,14,0,82
91,Station B,3000.3059443231036,1,13,0,83
92,Station B,3000.4732344210133,1,12,0,84
89,Station B,3000.4740894877023,1,11,0,85
59,Station B,3000.0401484366475,3,10,0,86
94,Station B,3000.5535891537256,1,11,0,87
93,Station B,3000.508787207392,1,12,0,88
88,Station B,3000.1770423667795,3,12,0,89
95,Station B,3000.08261716006,1,13,0,90
76,Station B,3000.2083424989705,1,13,0,91
97,Station B,3000.49869247067,3,20,1,92
99,Station B,3000.3148139918667,1,20,0,93
101,Station B,3000.0620753021853,1,20,1,94
103,Station B,3000.287323511164,1,20,0,95
102,Station B,3000.5527996726023,1,19,0,96
105,Station B,3000.477007633781,1,18,0,97
104,Station B,3000.6373825665664,1,18,0,98
106,Station B,3000.0731047819863,1,17,0,99
108,Station B,3000.577139546151,3,17,0,100
100,Station B,3000.076571482227,1,20,3,101
114,Station B,3000.537662894374,3,20,6,102
112,Station B,3000.0334139436745,1,20,5,103
62,Station B,3000.091510682381,1,20,4,104
116,Station B,3000.397590943304,1,20,3,105
115,Station B,3000.3447382034983,1,20,3,106
118,Station B,3000.1039586027905,1,20,3,107
96,Station B,3000.1476281580244,1,20,2,108
117,Station B,2999.5448976253174,1,20,2,109
119,Station B,3000.012866055373,1,20,2,110
107,Station B,3000.35044593544,1,20,3,111
121,Station B,3000.4904741717296,3,20,8,112
111,Station B,3000.072719577549,1,20,8,113
110,Station B,3000.244666890778,1,20,7,114
109,Station B,3000.079714573445,1,20,6,115
123,Station B,3000.1895711194065,1,20,9,116
120,Station B,2868.1436422175557,1,20,10,117
124,Station B,3000.0786531666777,1,20,11,118
