UserID,ConnectedBaseStation,CurrentLocation,Handovercouter,UsersInSystem,UserQueue,DisconnectedUsers
5,Station B,3000.1824728206557,1,16,0,1
6,Station B,3000.081266855917,1,16,0,2
7,Station B,3000.3867443655577,3,15,0,3
20,Station A,2012.7777649772704,0,17,0,4
11,Station B,3000.042192060846,1,19,0,5
14,Station B,3000.542623368403,1,18,0,6
3,Station B,3000.0550178751364,3,17,0,7
23,Station A,2061.7725805903783,0,16,0,8
9,Station B,3000.315952772271,1,15,0,9
12,Station B,3000.6043471843604,1,15,0,10
15,Station B,3000.3915619070176,1,14,0,11
4,Station B,3000.0303421788344,3,13,0,12
17,Station B,3000.1593140308796,1,12,0,13
19,Station B,3000.4294386092074,1,14,0,14
13,Station B,3000.4039657818785,1,13,0,15
21,Station B,3000.773965534379,1,14,0,16
0,Station B,3000.0571637047283,1,20,6,17
29,Station B,3000.7988937510086,1,20,6,18
27,Station B,3000.7112419147907,1,20,5,19
24,Station B,3000.195113486612,1,20,6,20
30,Station B,3000.207274912007,1,20,5,21
33,Station B,3000.254611000795,1,20,6,22
10,Station B,3000.0751737275577,1,20,9,23
28,Station B,3000.2974827255766,1,20,8,24
35,Station B,3000.2147586988763,1,20,7,25
36,Station B,3000.0834948936244,1,20,8,26
32,Station B,3000.5594112205,1,20,8,27
34,Station B,3000.5545609651945,1,20,8,28
39,Station B,3000.5670571911683,1,20,7,29
41,Station B,3000.7404493797717,1,20,6,30
37,Station B,3000.0205333724334,3,20,5,31
31,Station B,3000.0717559863924,3,20,4,32
25,Station B,3000.1753076288833,1,20,3,33
45,Station B,3000.6266451400174,1,20,3,34
38,Station B,3000.1638789690915,3,20,2,35
47,Station B,3000.0732333406504,1,20,5,36
26,Station B,3000.086562114192,3,20,4,37
44,Station B,3000.4078182511303,1,20,3,38
50,Station B,3000.42586032084,1,20,3,39
49,Station B,3000.4865554594953,1,20,5,40
18,Station B,3000.086217259161,1,20,4,41
43,Station B,3000.148565407841,3,20,3,42
8,Station B,3000.1141657676785,3,20,3,43
52,Station B,3000.566680721241,1,20,2,44
48,Station B,3000.4626122716727,1,20,3,45
46,Station B,3000.2448482831746,3,20,7,46
66,Station A,2075.4351853215403,0,20,8,47
40,Station B,3000.231277613936,1,20,9,48
51,Station B,3000.4732347412582,3,20,8,49
16,Station B,3000.0845566417393,3,20,7,50
55,Station B,3000.35354202483,3,20,6,51
59,Station B,3000.153775602753,3,20,5,52
60,Station B,3000.6526929573097,1,20,4,53
62,Station B,3000.7548705763056,1,20,3,54
72,Station A,2110.8747688928647,2,20,2,55
61,Station B,3000.3572178542727,3,20,1,56
73,Station A,2271.9147201322435,0,20,0,57
53,Station B,3000.3397111169897,1,20,3,58
56,Station B,3000.146195064703,3,20,2,59
57,Station B,3000.0910309663204,1,20,2,60
63,Station B,3000.536773271733,1,20,2,61
2,Station B,3000.073081906359,5,20,2,62
71,Station B,3000.7821310399227,1,20,1,63
69,Station B,3000.5631507145135,1,20,1,64
76,Station B,3000.75079073475,1,20,0,65
70,Station B,3000.40988736649,1,19,0,66
75,Station B,3000.315812830659,1,18,0,67
77,Station B,3000.4430201466907,3,18,0,68
79,Station B,3000.1961026731224,1,17,0,69
67,Station B,3000.0401104107987,1,17,0,70
74,Station B,3000.476464488201,1,17,0,71
80,Station B,3000.003795586934,1,16,0,72
83,Station B,3000.5266134326066,1,17,0,73
84,Station B,3000.7109734722553,3,16,0,74
22,Station B,3000.086544950475,7,17,0,75
78,Station B,3000.28768366909,1,19,0,76
64,Station B,2982.021793921289,3,19,0,77
65,Station B,3000.035484325066,3,19,0,78
86,Station B,3000.469024075184,1,19,0,79
68,Station B,3000.294824786151,3,18,0,80
87,Station B,3000.7671838588335,1,18,0,81
