UserID,ConnectedBaseStation,CurrentLocation,Handovercouter,UsersInSystem,UserQueue,DisconnectedUsers
5,Station B,3000.1824728206557,1,13,0,1
6,Station B,3000.081266855917,1,13,0,2
7,Station B,3000.3867443655577,1,14,0,3
3,Station B,3000.0550178751364,1,16,0,4
11,Station B,3000.042192060846,3,15,0,5
14,Station B,3000.542623368403,1,15,0,6
9,Station B,3000.315952772271,1,17,0,7
4,Station B,3000.0303421788344,3,16,0,8
12,Station B,3000.6043471843604,1,15,0,9
15,Station B,3000.3915619070176,3,14,0,10
17,Station B,3000.1593140308796,1,14,0,11
20,Station B,3000.5972882203187,1,15,0,12
19,Station B,3000.4294386092074,1,14,0,13
13,Station B,3000.4039657818785,1,13,0,14
21,Station B,3000.773965534379,1,13,0,15
0,Station B,3000.0571637047283,1,18,0,16
24,Station B,3000.195113486612,1,20,6,17
27,Station B,3000.7112419147907,3,20,5,18
10,Station B,3000.0751737275577,5,20,4,19
29,Station B,3000.7988937510086,1,20,3,20
30,Station B,3000.207274912007,3,20,3,21
33,Station B,3000.254611000795,1,20,3,22
28,Station B,3000.2974827255766,1,20,7,23
35,Station B,3000.2147586988763,1,20,6,24
36,Station B,3000.0834948936244,1,20,7,25
32,Station B,3000.5594112205,1,20,6,26
38,Station B,3000.8058145069817,3,20,9,27
34,Station B,3000.5545609651945,1,20,8,28
40,Station B,3000.5670571911683,1,20,7,29
31,Station B,3000.0717559863924,1,20,6,30
41,Station B,3000.504683704624,1,20,5,31
42,Station B,3000.7404493797717,1,20,4,32
25,Station B,3000.1753076288833,1,20,3,33
23,Station B,3000.026497797884,1,20,2,34
37,Station B,3000.0205333724334,1,20,1,35
39,Station B,3000.1638789690915,3,20,0,36
45,Station B,3000.6266451400174,1,19,0,37
26,Station B,3000.086562114192,3,20,0,38
8,Station B,3000.1141657676785,3,20,1,39
50,Station B,3000.42586032084,1,20,0,40
18,Station B,3000.086217259161,3,19,0,41
47,Station B,3000.7392350238824,1,19,0,42
49,Station B,3000.4865554594953,1,18,0,43
43,Station B,3000.4330826950777,1,17,0,44
48,Station B,3000.4626122716727,1,20,0,45
52,Station B,3000.566680721241,1,19,0,46
46,Station B,3000.2191462693722,1,18,0,47
54,Station B,3000.526532231982,1,17,0,48
44,Station B,3000.110373226942,1,16,0,49
58,Station B,3000.528471573945,1,16,0,50
16,Station B,3000.0845566417393,1,17,0,51
56,Station B,3000.0732333406504,1,17,0,52
51,Station B,3000.4732347412582,1,20,0,53
57,Station B,3000.35354202483,3,20,3,54
53,Station B,3000.3397111169897,1,20,2,55
2,Station B,3000.073081906359,5,20,1,56
69,Station B,3000.6526929573097,3,20,0,57
65,Station B,3000.153775602753,1,19,0,58
71,Station B,3000.7548705763056,1,18,0,59
60,Station B,3000.3962688415163,1,17,0,60
70,Station B,3000.3572178542727,1,17,0,61
61,Station B,3000.146195064703,1,16,0,62
62,Station B,3000.0910309663204,1,18,0,63
72,Station B,3000.6809301769554,1,17,0,64
67,Station B,3000.2233413988642,1,17,0,65
64,Station B,3000.423686383224,1,16,0,66
75,Station B,3000.578334164802,1,15,0,67
76,Station B,3000.125513780862,3,15,0,68
73,Station A,3000.536773271733,0,16,0,69
68,Station B,3000.2791265229826,1,15,0,70
22,Station B,3000.086544950475,1,14,0,71
78,Station B,3000.017245568671,5,16,0,72
59,Station B,3000.1300609902064,3,17,0,73
79,Station B,3000.1989409519624,3,20,2,74
85,Station B,3000.4430201466907,1,20,2,75
83,Station B,3000.0401104107987,1,20,3,76
84,Station B,3000.340669475072,1,20,2,77
80,Station B,3000.2415438311764,1,20,1,78
87,Station B,3000.5631507145135,1,20,0,79
89,Station B,3000.7821310399227,1,20,0,80
90,Station B,3000.1052979329543,3,20,3,81
88,Station B,3000.40988736649,1,20,3,82
91,Station B,3000.646170086696,1,20,2,83
77,Station B,3000.035484325066,5,20,1,84
93,Station B,3000.315812830659,1,20,0,85
81,Station B,3000.251571011761,1,20,0,86
66,Station B,3000.004253977974,3,19,0,87
97,Station B,3000.201289165959,1,19,0,88
74,Station B,3000.1271893414223,1,18,0,89
92,Station B,3000.476464488201,1,17,0,90
96,Station B,3000.003795586934,3,16,0,91
99,Station A,2221.5287169616745,0,17,0,92
101,Station B,2958.457141228276,1,17,0,93
95,Station B,3000.28768366909,1,17,0,94
86,Station B,3000.294824786151,1,16,0,95
100,Station B,3000.5316204174924,1,16,0,96
94,Station B,3000.114173781859,1,16,0,97
105,Station B,3000.7671838588335,1,15,0,98
103,Station B,3000.295862031422,1,15,0,99
114,Station A,2009.115892280644,0,15,0,100
104,Station B,3000.6063050711527,1,15,0,101
82,Station B,3000.0094547991816,3,14,0,102
106,Station B,3000.359972742368,1,18,0,103
98,Station B,3000.2002192751183,5,18,0,104
108,Station B,3000.446961067712,1,20,1,105
112,Station B,3000.3585023556207,1,20,0,106
107,Station B,3000.221913026511,1,20,2,107
118,Station B,3000.0603329839164,1,20,3,108
55,Station B,3000.003696127294,5,20,2,109
120,Station B,3000.3096208886814,1,20,3,110
111,Station B,3000.416141933615,1,20,2,111
119,Station B,3000.3545819651167,1,20,5,112
122,Station B,3000.410644132062,1,20,4,113
123,Station B,3000.3981024883456,1,20,3,114
115,Station B,3000.341424579973,1,20,2,115
63,Station B,3000.067590882361,5,20,1,116
126,Station B,3000.4088284719137,3,20,1,117
124,Station B,3000.3899267101797,1,20,4,118
121,Station B,3000.261540532025,3,20,4,119
127,Station B,3000.160733877172,3,20,3,120
109,Station B,3000.305098823551,1,20,3,121
110,Station B,3000.077940291549,3,20,2,122
117,Station B,3000.3099436635493,1,20,1,123
131,Station B,3000.309448524664,3,20,3,124
133,Station B,3000.410683499233,1,20,2,125
142,Station A,2160.0663957386846,0,20,1,126
132,Station B,3000.0105648858007,1,20,0,127
