UserID,ConnectedBaseStation,CurrentLocation,Handovercouter,UsersInSystem,UserQueue,DisconnectedUsers
2,Station B,3000.0258711381775,1,12,0,1
1,Station B,3000.4192944663178,1,12,0,2
7,Station B,3000.663067983261,1,11,0,3
5,Station B,3000.2429210851437,3,10,0,4
6,Station B,3000.8469547677414,1,10,0,5
4,Station B,3000.199187030455,3,17,0,6
3,Station B,3000.2883786863754,1,16,0,7
14,Station B,3000.4498089092704,1,15,0,8
15,Station B,3000.532164771142,1,16,0,9
19,Station B,3000.7768155735594,1,15,0,10
9,Station B,3000.3424126257805,3,16,0,11
8,Station B,3000.3058596451215,1,15,0,12
16,Station B,3000.0836835733817,1,14,0,13
17,Station B,3000.1505202522694,3,13,0,14
18,Station B,3000.2925758818533,3,17,0,15
22,Station B,3000.3369975236888,1,20,5,16
27,Station B,3000.48473939529,1,20,5,17
24,Station B,3000.316860754783,1,20,5,18
26,Station B,3000.4157488874757,1,20,6,19
11,Station B,3000.1674810428285,3,20,5,20
32,Station B,3000.380149516944,1,20,6,21
34,Station B,3000.5113549511952,1,20,5,22
28,Station B,3000.1061899132437,1,20,5,23
35,Station B,3000.4656192977945,1,20,4,24
31,Station B,3000.185539454089,1,20,5,25
30,Station B,3000.1569599699847,1,20,5,26
23,Station B,3000.236579805515,1,20,4,27
29,Station A,2471.211892467326,0,20,4,28
37,Station B,3000.6519090805095,1,20,3,29
12,Station B,3000.122940578715,1,20,4,30
36,Station B,3000.355713011361,1,20,3,31
10,Station B,3000.0359029579627,3,20,3,32
33,Station B,3000.4318158056703,5,20,2,33
13,Station B,3000.1811825931645,3,20,2,34
39,Station B,3000.251337327504,1,20,1,35
40,Station B,3000.5997424763846,1,20,0,36
43,Station B,3000.106663236614,1,20,0,37
55,Station A,2155.6564749474705,0,19,0,38
48,Station B,3000.3313298698154,1,20,0,39
45,Station B,3000.015038158487,1,20,0,40
41,Station A,2316.0265835028213,0,20,0,41
56,Station A,2251.6990791647986,0,20,0,42
52,Station B,3000.538230039031,1,20,1,43
44,Station B,3000.253838878052,1,20,1,44
53,Station B,3000.083404356321,1,20,3,45
57,Station B,3000.1453618894675,1,20,5,46
38,Station B,3000.0173198886228,1,20,4,47
49,Station B,3000.0794443197383,3,20,4,48
25,Station B,2949.1173216037587,1,20,3,49
20,Station B,3000.142915319324,3,20,2,50
63,Station B,3000.2841973231557,3,20,6,51
65,Station B,3000.5860192914674,1,20,5,52
58,Station B,3000.295673719018,1,20,5,53
21,Station B,3000.0331842276673,1,20,8,54
54,Station B,3000.1524023113484,1,20,7,55
68,Station B,3000.4418066384223,1,20,6,56
67,Station B,3000.293389228815,1,20,5,57
69,Station B,3000.412441071897,1,20,4,58
77,Station A,2027.0683058130567,0,20,3,59
66,Station B,3000.4121600441504,1,20,2,60
51,Station B,3000.0247862349624,3,20,2,61
61,Station B,3000.2715533824876,1,20,1,62
46,Station B,3000.042763701163,1,20,0,63
42,Station B,3000.19102456044,3,20,0,64
73,Station B,3000.6451119956623,1,19,0,65
70,Station B,3000.024031545147,1,20,1,66
72,Station B,3000.174251925455,1,20,0,67
76,Station B,3000.4888060462986,1,20,0,68
47,Station B,3000.0365516328316,1,20,0,69
74,Station B,3000.0291275998416,1,19,0,70
62,Station B,3000.2469472109005,3,19,0,71
81,Station B,3000.458016746693,1,19,0,72
80,Station B,3000.662762460126,1,18,0,73
64,Station B,3000.098025866151,1,17,0,74
59,Station B,3000.164037930087,1,17,0,75
