UserID,ConnectedBaseStation,CurrentLocation,Handovercouter,UsersInSystem,UserQueue,DisconnectedUsers
0,Station B,3000.255437614397,1,8,0,1
2,Station B,3000.1561346777203,1,20,2,2
11,Station B,3000.0421576200065,1,20,5,3
8,Station B,3000.3554492051517,1,20,4,4
12,Station B,3000.8532505165713,1,20,3,5
6,Station B,3000.0488594527524,3,20,3,6
5,Station B,3000.2514768164583,1,20,2,7
16,Station B,3000.649203767846,1,20,1,8
21,Station B,3000.2748433477896,1,20,3,9
17,Station B,3000.7090699953974,1,20,2,10
14,Station B,3000.056003015781,1,20,1,11
9,Station B,3000.548787789084,3,20,0,12
15,Station B,3000.3077385448346,1,20,0,13
13,Station B,3000.2822301927895,1,19,0,14
10,Station B,3000.1867974692623,1,18,0,15
19,Station B,3000.364378505227,1,17,0,16
3,Station B,3000.317366610434,1,19,0,17
7,Station B,3000.2024093842174,1,18,0,18
18,Station B,3000.2847400726714,1,17,0,19
24,Station A,2445.355585268466,0,16,0,20
29,Station B,3000.2785012624026,1,15,0,21
27,Station B,3000.7468897564154,3,14,0,22
20,Station B,3000.348668437768,3,13,0,23
23,Station B,3000.1488736951032,1,14,0,24
34,Station B,3000.1974365823007,1,16,0,25
35,Station B,3000.3687442442797,1,17,0,26
32,Station B,3000.337304599419,1,16,0,27
28,Station B,3000.390353329652,3,16,0,28
31,Station B,3000.2036231939232,1,19,0,29
25,Station B,2904.3845598818507,1,18,0,30
4,Station B,3000.1236825938213,1,17,0,31
33,Station B,3000.4120542664646,1,16,0,32
38,Station B,3000.354341375728,1,16,0,33
37,Station B,3000.253457093922,1,17,0,34
36,Station B,3000.6658515989857,3,16,0,35
45,Station A,2159.038235860702,0,18,0,36
40,Station B,3000.278796954431,1,17,0,37
41,Station B,3000.5924523166655,1,16,0,38
43,Station B,3000.401839098234,1,17,0,39
49,Station B,3000.2429575719434,3,18,0,40
50,Station B,3000.6594443890117,1,17,0,41
53,Station B,3000.3121733921203,1,17,0,42
22,Station B,3000.1003832207934,1,17,0,43
30,Station B,2954.697200036491,5,16,0,44
51,Station B,3000.52704077043,1,15,0,45
61,Station A,2008.141485538169,0,16,0,46
56,Station B,3000.5011861878756,1,17,0,47
55,Station B,3000.184179264584,1,16,0,48
39,Station B,3000.1008393284064,3,20,0,49
47,Station B,3000.079039918754,1,19,0,50
63,Station B,3000.2475912871823,1,19,0,51
46,Station B,3000.116976511763,1,19,0,52
60,Station B,3000.509555789028,1,18,0,53
54,Station B,3000.2220419473088,1,18,0,54
58,Station B,3000.3247865290323,1,18,0,55
67,Station B,3000.498246606745,1,18,0,56
65,Station B,3000.385862777347,1,17,0,57
69,Station B,3000.179980239506,1,18,0,58
66,Station B,3000.147020834008,1,17,0,59
57,Station B,3000.083494815143,1,16,0,60
62,Station B,3000.1580575928374,1,17,0,61
44,Station B,3000.068469807802,3,17,0,62
68,Station B,3000.4618926055336,1,17,0,63
42,Station B,3000.1391216464617,1,18,0,64
48,Station B,3000.1603718894416,1,17,0,65
73,Station B,3000.022758779972,1,17,0,66
71,Station B,3000.336218696417,1,19,0,67
70,Station B,2966.655662834754,3,19,0,68
77,Station B,3000.343568911772,1,19,0,69
89,Station A,2007.1960740152717,0,20,0,70
81,Station B,3000.3299986863976,1,19,0,71
78,Station B,3000.4148738199133,3,19,0,72
72,Station B,3000.3385419677534,1,19,0,73
75,Station B,3000.332930473102,1,19,0,74
86,Station B,3000.6807062338953,1,20,0,75
82,Station B,3000.3996414642784,1,20,0,76
26,Station B,3000.025374300969,5,19,0,77
59,Station B,3000.084372099573,3,19,0,78
76,Station B,3000.1099731939134,3,20,0,79
91,Station B,3000.130977879542,1,19,0,80
83,Station B,3000.030512696105,3,18,0,81
84,Station B,3000.077447872148,3,17,0,82
52,Station B,3000.1181650564126,5,16,0,83
93,Station B,3000.5375343394717,1,15,0,84
92,Station B,3000.3535461048236,1,14,0,85
88,Station B,3000.324375528672,1,13,0,86
97,Station B,3000.0189343289594,1,14,0,87
79,Station B,3000.001780732051,1,14,0,88
98,Station B,3000.1287381113434,1,13,0,89
64,Station B,3000.065927827487,1,12,0,90
95,Station B,3000.1244714302775,1,12,0,91
94,Station B,3000.2622843131476,1,13,0,92
74,Station B,3000.124852898882,3,14,0,93
96,Station B,3000.0164250565877,1,14,0,94
99,Station B,3000.5207152866215,1,13,0,95
100,Station B,3000.503711520955,1,17,0,96
85,Station B,3000.145553606746,3,16,0,97
103,Station B,3000.1775094700242,3,16,0,98
106,Station B,3000.200377612148,1,17,0,99
107,Station B,3000.369567762351,1,17,0,100
105,Station B,3000.1865728682496,1,16,0,101
112,Station B,3000.392868655575,3,20,0,102
102,Station B,3000.169134616478,1,20,2,103
111,Station B,3000.012150529354,3,20,1,104
113,Station B,3000.6018227102813,1,20,2,105
80,Station B,3000.0134886201995,1,20,1,106
116,Station A,2221.1364375794456,0,20,1,107
109,Station B,3000.331912558861,1,20,0,108
119,Station B,3000.598101926873,3,19,0,109
120,Station B,3000.605350934005,1,18,0,110
104,Station B,3000.0113457924454,1,17,0,111
117,Station B,3000.3271387110835,1,16,0,112
114,Station B,3000.242435422024,1,15,0,113
125,Station B,3000.245117056573,1,19,0,114
118,Station B,3000.231602429845,3,18,0,115
121,Station B,3000.051642114691,1,19,0,116
124,Station B,3000.0048797542904,1,19,0,117
127,Station B,3000.16362761477,1,19,0,118
129,Station B,3000.654891173056,3,18,0,119
123,Station B,3000.222318395303,1,17,0,120
126,Station B,3000.30806397301,1,17,0,121
133,Station B,3000.206756939755,1,16,0,122
130,Station B,3000.6464708062863,1,15,0,123
128,Station B,3000.6044647412946,1,14,0,124
110,Station B,3000.0476661973075,3,13,0,125
132,Station B,3000.4857875248504,3,12,0,126
122,Station B,3000.330111992857,1,16,0,127
108,Station B,3000.0714520563297,5,18,0,128
135,Station B,3000.4948345049265,1,19,0,129
134,Station B,3000.005842650903,1,20,1,130
87,Station B,3000.0838758787772,3,20,2,131
90,Station B,3000.043000261803,3,20,1,132
149,Station A,2051.9840165958744,0,20,1,133
138,Station B,3000.823937012025,1,20,3,134
131,Station B,3000.1413730265826,1,20,2,135
136,Station B,3000.110173972445,5,20,1,136
142,Station B,3000.8279706163394,1,20,1,137
151,Station A,2401.061484242411,0,20,0,138
139,Station B,3000.0849042631708,1,19,0,139
137,Station B,3000.3030780600743,1,20,0,140
101,Station B,3000.0583052981724,7,19,0,141
144,Station B,3000.1145267299307,1,20,1,142
155,Station B,3000.8025426113554,1,20,0,143
147,Station B,3000.5657163880132,1,19,0,144
150,Station B,3000.2472797804908,3,19,0,145
152,Station B,3000.183457512643,1,18,0,146
148,Station B,3000.0591085122373,1,18,0,147
157,Station B,3000.131356431353,1,18,0,148
115,Station B,3000.0194951524522,1,18,0,149
146,Station B,3000.2773286013244,1,17,0,150
158,Station B,3000.3030110723653,1,16,0,151
141,Station B,3000.1961044577697,1,16,0,152
154,Station B,2761.5249346041765,3,17,0,153
160,Station B,3000.230213159276,1,19,0,154
164,Station B,3000.58455266217,1,19,0,155
165,Station B,3000.2270763165616,1,18,0,156
156,Station B,3000.0874560137445,1,18,0,157
140,Station B,3000.09073241597,3,20,0,158
143,Station B,3000.12489745779,1,20,0,159
145,Station B,3000.2355395894215,1,19,0,160
166,Station B,3000.1619452612467,1,20,0,161
170,Station A,2263.380906726769,0,19,0,162
171,Station B,3000.3950293225644,1,20,1,163
169,Station B,3000.550951136145,1,20,0,164
168,Station B,3000.1605618123403,1,19,0,165
172,Station B,3000.1311223247303,1,20,0,166
177,Station B,3000.256464211386,1,19,0,167
174,Station B,3000.2152547870555,3,18,0,168
163,Station B,3000.075252516903,3,17,0,169
173,Station B,3000.2845040125208,1,16,0,170
167,Station B,3000.356095719018,1,15,0,171
153,Station B,3000.207138680838,1,16,0,172
181,Station B,3000.2127200334908,1,16,0,173
182,Station B,3000.3156920557144,1,15,0,174
