UserID,ConnectedBaseStation,CurrentLocation,Handovercouter,UsersInSystem,UserQueue,DisconnectedUsers
2,Station B,3000.0258711381775,1,11,0,1
1,Station B,3000.4192944663178,1,12,0,2
7,Station B,3000.663067983261,1,11,0,3
5,Station B,3000.2429210851437,1,10,0,4
6,Station B,3000.8469547677414,1,9,0,5
4,Station B,3000.199187030455,3,17,0,6
3,Station B,3000.2883786863754,1,16,0,7
14,Station B,3000.4498089092704,3,15,0,8
15,Station B,3000.532164771142,1,15,0,9
19,Station B,3000.7768155735594,1,15,0,10
9,Station B,3000.3424126257805,1,14,0,11
8,Station B,3000.3058596451215,1,14,0,12
16,Station B,3000.0836835733817,5,14,0,13
17,Station B,3000.1505202522694,1,13,0,14
18,Station B,3000.2925758818533,1,16,0,15
22,Station B,3000.3369975236888,1,20,3,16
27,Station B,3000.48473939529,1,20,4,17
24,Station B,3000.316860754783,1,20,4,18
11,Station B,3000.1674810428285,1,20,5,19
26,Station B,3000.4157488874757,1,20,4,20
32,Station B,3000.380149516944,1,20,4,21
28,Station B,3000.1061899132437,1,20,4,22
34,Station B,3000.5113549511952,1,20,4,23
35,Station B,3000.4656192977945,1,20,4,24
42,Station A,2032.438707512988,0,20,3,25
31,Station B,3000.185539454089,1,20,3,26
23,Station B,3000.236579805515,1,20,3,27
30,Station B,3000.1569599699847,1,20,2,28
46,Station A,2105.7158754624825,2,20,1,29
12,Station B,3000.122940578715,3,20,1,30
10,Station B,3000.0359029579627,3,20,3,31
33,Station B,3000.4318158056703,1,20,3,32
13,Station B,3000.1811825931645,3,20,2,33
38,Station B,3000.480437263297,3,20,1,34
40,Station B,3000.251337327504,1,20,0,35
41,Station B,3000.251943830409,1,20,0,36
49,Station B,3000.349609013219,1,19,0,37
47,Station A,2303.4627678908605,0,20,1,38
45,Station B,3000.1718561765206,1,20,1,39
52,Station B,3000.538230039031,1,20,4,40
36,Station B,3000.117327037523,1,20,3,41
39,Station B,3000.2203104211867,1,20,3,42
44,Station B,3000.253838878052,3,20,2,43
55,Station B,3000.331731295795,1,20,1,44
43,Station B,3000.215610369116,1,20,0,45
53,Station B,3000.083404356321,1,19,0,46
