UserID,ConnectedBaseStation,CurrentLocation,Handovercouter,UsersInSystem,UserQueue,DisconnectedUsers
2,Station B,3000.3216460680705,1,10,0,1
1,Station B,3000.014322246541,1,11,0,2
4,Station B,3000.097454190177,1,14,0,3
10,Station B,3000.038604109695,1,14,0,4
3,Station B,3000.311367452492,1,16,0,5
7,Station B,3000.13664457947,1,20,0,6
8,Station B,3000.1170543231196,3,20,0,7
9,Station B,3000.09343926813,3,20,5,8
14,Station B,3000.110526625863,3,20,4,9
18,Station B,3000.7392500720016,1,20,4,10
17,Station B,3000.0962632790543,1,20,3,11
16,Station B,3000.323600681367,1,20,3,12
6,Station B,3000.0413339938254,1,20,4,13
26,Station B,3000.490479606514,1,20,6,14
24,Station B,3000.200544779076,3,20,5,15
21,Station B,3000.009050572525,1,20,6,16
27,Station B,3000.157280531963,1,20,5,17
28,Station B,3000.320250725409,1,20,6,18
20,Station B,3000.2952991275383,1,20,7,19
11,Station B,3000.234290155213,3,20,6,20
23,Station B,3000.0825130956405,1,20,5,21
15,Station B,3000.124736568038,1,20,4,22
22,Station B,3000.1392258265414,1,20,4,23
33,Station B,3000.567734418089,1,20,5,24
30,Station B,3000.6385659213024,1,20,5,25
34,Station B,3000.8154901583607,1,20,9,26
35,Station B,3000.640811678386,1,20,10,27
19,Station B,3000.16877280251,1,20,9,28
48,Station A,2056.481001549017,0,20,9,29
37,Station B,3000.454573428753,1,20,9,30
25,Station B,3000.292916670594,3,20,8,31
39,Station B,3000.093661752316,1,20,11,32
32,Station B,3000.362389470903,1,20,10,33
36,Station B,3000.4414478353333,1,20,9,34
40,Station B,3000.0857023895055,3,20,8,35
12,Station B,3000.1176350986225,1,20,7,36
38,Station B,3000.182827754788,1,20,7,37
45,Station B,3000.84994575991,1,20,6,38
44,Station B,3000.0568144256936,3,20,10,39
41,Station B,3000.166224707737,1,20,9,40
49,Station B,3000.4075128976133,1,20,8,41
50,Station B,3000.6203413295316,3,20,7,42
29,Station B,3000.3008157424647,1,20,6,43
5,Station B,3000.035756278119,1,20,5,44
51,Station B,3000.235611623079,1,20,7,45
52,Station B,3000.449495441435,1,20,6,46
47,Station B,3000.526357073087,1,20,5,47
58,Station B,3000.098022427639,1,20,5,48
55,Station B,3000.212474340252,1,20,5,49
42,Station B,3000.012752151104,3,20,5,50
70,Station A,2065.951165863291,0,20,4,51
59,Station B,3000.3530061465926,1,20,3,52
43,Station B,3000.2582804253398,1,20,2,53
31,Station B,3000.2185282566916,1,20,2,54
54,Station B,3000.4976422964087,1,20,2,55
66,Station B,3000.7055474697727,3,20,2,56
63,Station B,3000.4622389425504,1,20,1,57
57,Station B,3000.034080437197,1,20,0,58
64,Station B,3000.4291497747045,1,19,0,59
53,Station B,3000.1825011574856,1,20,3,60
61,Station B,3000.501152342804,1,20,2,61
71,Station B,3000.8146694014285,1,20,1,62
67,Station B,3000.3709778114417,1,20,1,63
56,Station B,3000.3033242812667,1,20,1,64
46,Station B,3000.2293602393956,1,20,1,65
65,Station B,3000.453903127438,5,20,0,66
73,Station B,3000.2536049459095,1,19,0,67
72,Station B,3000.5638344594936,1,18,0,68
62,Station B,3000.165106970903,1,17,0,69
13,Station B,3000.0344560867516,3,18,0,70
77,Station B,3000.6750020268096,3,17,0,71
76,Station B,3000.7233773030293,1,16,0,72
80,Station B,3000.4541627689678,3,18,0,73
87,Station A,2196.4864378027123,0,17,0,74
79,Station B,3000.640950796668,1,17,0,75
60,Station B,3000.110212625012,1,16,0,76
84,Station B,3000.05171135323,1,19,0,77
85,Station B,3000.506280888042,1,20,1,78
74,Station B,3000.1930269048876,1,20,4,79
82,Station B,3000.2742035167485,1,20,4,80
69,Station B,3000.013492180884,1,20,4,81
83,Station B,3000.1265324567266,3,20,4,82
86,Station B,3000.158967014719,1,20,6,83
92,Station B,3000.5267299990924,3,20,5,84
88,Station B,3000.1420433330222,1,20,5,85
95,Station B,3000.5590508002942,1,20,5,86
91,Station B,3000.166402552635,1,20,6,87
106,Station A,2054.943456102599,0,20,5,88
96,Station B,3000.004430993601,1,20,5,89
98,Station B,3000.2696943707947,1,20,5,90
89,Station B,3000.3358150392733,3,20,4,91
94,Station B,3000.1180214333817,1,20,3,92
93,Station A,2470.4796973412945,0,20,3,93
97,Station B,3000.24435074972,1,20,2,94
102,Station A,3000.5629340211726,0,20,1,95
78,Station B,3000.1790203600103,3,20,0,96
104,Station A,3000.3376352264904,0,20,1,97
81,Station B,3000.0540968413034,1,20,1,98
111,Station B,3000.1852424702174,1,20,5,99
113,Station B,3000.6623410079847,1,20,4,100
101,Station B,3000.22657168659,3,20,3,101
75,Station B,3000.1667219652654,3,20,2,102
108,Station B,3000.319042621786,1,20,1,103
114,Station B,3000.318092796857,1,20,0,104
103,Station B,3000.1428198712006,1,20,0,105
118,Station B,3000.677003017923,1,20,0,106
116,Station B,3000.050935787329,1,19,0,107
109,Station B,3000.3256635307544,1,18,0,108
105,Station B,3000.245974600726,3,17,0,109
117,Station B,3000.254058941442,1,17,0,110
124,Station B,3000.558094683988,1,16,0,111
125,Station B,3000.726018213518,1,15,0,112
68,Station B,2864.357823048851,5,14,0,113
123,Station B,3000.5244279039516,3,14,0,114
90,Station B,3000.1052119369083,1,13,0,115
122,Station B,3000.2088356783074,3,19,0,116
100,Station B,3000.0034966508965,1,20,0,117
126,Station B,3000.4129012839912,1,19,0,118
119,Station B,3000.108195430985,1,20,0,119
127,Station B,3000.187884351588,1,19,0,120
129,Station B,3000.4454781266622,1,20,2,121
115,Station B,3000.180547464339,3,20,5,122
112,Station B,3000.009014068005,3,20,4,123
99,Station B,3000.091001008688,3,20,4,124
133,Station B,3000.685730931129,1,20,3,125
138,Station B,3000.395216919407,1,20,3,126
131,Station B,3000.363827294982,1,20,4,127
134,Station B,3000.06282482844,1,20,3,128
139,Station B,3000.3686999267684,1,20,2,129
137,Station B,3000.1467243010075,1,20,2,130
107,Station B,3000.1484571096134,1,20,3,131
141,Station B,3000.3334159481665,3,20,4,132
135,Station B,3000.056805788327,1,20,8,133
110,Station B,3000.1156912297515,7,20,7,134
136,Station B,3000.134924044376,1,20,6,135
142,Station B,3000.1775457635285,3,20,7,136
144,Station B,3000.534907939638,3,20,6,137
149,Station B,3000.168365681492,1,20,5,138
120,Station B,3000.1102898482645,1,20,4,139
146,Station B,3000.408759560395,1,20,3,140
143,Station B,3000.4358606380606,3,20,2,141
140,Station B,3000.224123990485,3,20,2,142
147,Station B,3000.6799808751093,1,20,1,143
148,Station B,3000.55999024188,1,20,0,144
132,Station B,3000.1037878672378,3,19,0,145
151,Station B,3000.493578592419,1,19,0,146
128,Station B,3000.1660180889394,1,18,0,147
152,Station B,3000.001391283939,1,17,0,148
130,Station B,3000.2139572024926,3,16,0,149
159,Station B,3000.309936095921,1,18,0,150
155,Station B,3000.4477279742882,1,17,0,151
160,Station B,3000.871905485801,1,16,0,152
157,Station B,3000.1052650975134,1,15,0,153
158,Station B,3000.581172801368,1,14,0,154
